Investment Name	Sponsor	Property Type	Location	Average Annual Return	Equity Multiple	Holding Period	City	Location Note	Asset Class	Asset Class 2
Courtyard (Note 2) - Newark, OH	Peachtree Group	Credit - Hotel		0.2621	1.16	0.61			Credit / Debt	
Wingate - Kennesaw, GA	Peachtree Group	Hotel		0.2927	1.96	3.28			Hotel / Hospitality	
Courtyard / TownePlace Suites - Galveston, TX	Peachtree Group	Credit - Hotel							Credit / Debt	
Holiday Inn - Franklin, TN	Peachtree Group	Hotel		0.0676	1.29	4.29			Hotel / Hospitality	
Storesmart Riverdale	Reliant	Self storage		0.513895	3.14	4.16		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Autumn Breeze - Noblesville, IN	Passco Companies	Multifamily / residential	IN	0.0753	1.5143	6.83	Noblesville		Multifamily / Residential	
Hampton Inn & Suites - Oakdale, MN	Peachtree Group	Credit - Hotel		0.091	1.33	3.62			Credit / Debt	
Hillsboro	Bluerock	Multifamily / residential	TN	0.398291	2.194872	3	Nashville		Multifamily / Residential	
Family Discount Portfolio II DST	Inland Private Capital	Retail		-0.0248	0.75	10.08			Net Lease (NNN) Retail	
Mimi's Café	AEI	Net-leased restaurant	MO	0.00381	1.0448	11.759069	Kansas City		Net Lease (NNN) Retail	
Carmel Multifamily DST	Inland Private Capital	Multifamily		0.0921	1.56	6.08			Multifamily / Residential	
Shelby - Alexandria, VA	Passco Companies	Multifamily / residential	VA	0.047	1.2665	5.67	Alexandria		Multifamily / Residential	
The Woods at Forrest Hill	Bluerock	Multifamily / residential	TX	0.049784	1.149351	3	Forrest Hill		Multifamily / Residential	
Burbank 1031, L.L.C.	Inland Private Capital	Retail		0.0214	1.21	9.83			Net Lease (NNN) Retail	
Providence Trail	Bluerock	Multifamily / residential	TN	0.579595	2.931982	3.333333	Mount Juliet		Multifamily / Residential	
Craig Crossing 1031, L.L.C.	Inland Private Capital	Retail		-0.0604	0.34	10.92			Net Lease (NNN) Retail	
Sonesta ES Suites - Dublin, OH	Peachtree Group	Credit - Hotel		0.2339	1.57	2.44			Credit / Debt	
West Orange Fitness, DST	ARCTRUST	Single Tenant Fitness						West Orange, New Jersey	Net Lease (NNN) Retail	
Tru - Florida City, FL	Peachtree Group	Credit - Hotel		0.1486	1.33	2.22			Credit / Debt	
Courtyard - Buffalo, NY	Peachtree Group	Credit - Hotel		0.1872	2.03	5.5			Credit / Debt	
KinderCare / Children's World	AEI	Net-leased early education / childcare	TX	0.084371	2.2289	14.565366	Houston		Net Lease (NNN) Retail	
Rockport Harvey Housing Phase I - Rockport, TX	Peachtree Group	Credit - Multifamily		0.2392	1.59	2.47			Credit / Debt	
Water’s Edge	Bluerock	Multifamily / residential	FL	0.119161	1.218462	1.833333	Pensacola		Multifamily / Residential	
Hilton Garden Inn - Buford, GA	Peachtree Group	Credit - Hotel							Credit / Debt	
Hampton Inn - Corydon, IN	Peachtree Group	Hotel		0.0492	1.36	7.32			Hotel / Hospitality	
Custom Pharmacy Sale Leaseback, L.L.C.	Inland Private Capital	Retail		0.0945	1.8	8.47			Net Lease (NNN) Retail	
Social Security Administration - Worthington, OH	Syndicated Equities	Government / GSA-leased	OH	0.0284	1.36	12.65	Worthington		Government / GSA-Leased	
Houston 1031 Limited Partnership	Inland Private Capital	Office		-0.0198	0.68	16.18			Office	
Ridgehouse Multifamily - Olivette, MO	Peachtree Group	Credit - Multifamily		0.209	1.4	1.91			Credit / Debt	
Holiday Inn Express - Commerce, GA	Peachtree Group	Credit - Hotel		0.5798	1.2	0.34			Credit / Debt	
Hilton Garden Inn - Overland Park, KS	Peachtree Group	Hotel		0.3442	1.85	2.47			Hotel / Hospitality	
Wingate (A Note) - Lancaster, PA	Peachtree Group	Credit - Hotel		1.0388	1.31	0.3			Credit / Debt	
Park on the Square	Bluerock	Multifamily / residential	FL	0.10021	1.225473	2.25	Pensacola		Multifamily / Residential	
Cranberry Square - Pittsburgh, PA	Syndicated Equities	Retail	PA	0.1519	1.69	4.54	Pittsburgh		Net Lease (NNN) Retail	
Helios	Bluerock	Multifamily / residential	GA	0.190946	1.891082	4.666667	Atlanta		Multifamily / Residential	
11 Stanwix - Pittsburgh, PA	Syndicated Equities		PA	-0.0959	0.28	7.51	Pittsburgh			
Midgard Little River	Reliant	Self storage		0.098337	1.77	7.83		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Webster Place Shopping Center - Chicago, IL	Syndicated Equities	Retail	IL	0.05	1.68	13.6	Chicago		Net Lease (NNN) Retail	
Hampton Inn - Birmingham, AL	Peachtree Group	Credit - Hotel		0.5668	1.09	0.16			Credit / Debt	
Carino's	AEI	Net-leased restaurant	TX	-0.007288	0.9237	10.469541	Mansfield		Net Lease (NNN) Retail	
Springhill Suites - Roswell, GA	Peachtree Group	Credit - Hotel		0.2195	1.56	2.55			Credit / Debt	
Suburban Extended Stay - Westminster, CO	Peachtree Group	Credit - Hotel		0.1724	1.38	2.2			Credit / Debt	
Homewood Suites - Covington, LA	Peachtree Group	Hotel		-0.0893	0.77	2.58			Hotel / Hospitality	
TownePlace Suites - Cupertino, CA	Peachtree Group	Credit - Hotel		-0.0507	0.96	0.79			Credit / Debt	
Element	Bluerock	Multifamily / residential	NV	0.676152	3.253841	3.333333	Las Vegas		Multifamily / Residential	
Courtyard - Newburgh, NY	Peachtree Group	Credit - Hotel		0.171	1.97	5.67			Credit / Debt	
Doubletree - Atlanta, GA	Peachtree Group	Credit - Hotel		0.2455	1.91	3.71			Credit / Debt	
Resort Property - Asheville, NC	Peachtree Group	Credit - Other		0.1978	1.39	1.97			Credit / Debt	
Origin - Raleigh, NC	Peachtree Group	Credit - Hotel		0.1597	1.08	0.5			Credit / Debt	
LSC-AM MC2, DST	Livingston Street Capital	Not disclosed		0.071372	1.499602	7		Not disclosed		
Flatiron Athletic Club - Broomfield, CO	Syndicated Equities		CO	-0.0572	0.22	13.64	Broomfield			
National Net Lease Portfolio	Inland Private Capital	Retail		0.0205	1.28	13.67			Net Lease (NNN) Retail	
Sierra Village	Bluerock	Multifamily / residential	GA	0.109211	1.218421	2	Atlanta		Multifamily / Residential	
Hilton Garden Inn - Phoenix, AZ	Peachtree Group	Credit - Hotel		0.1869	2.06	5.67			Credit / Debt	
KinderCare / Children's World	AEI	Net-leased early education / childcare	CO	0.068817	2.0534	15.307324	Colorado Springs		Net Lease (NNN) Retail	
Comfort Suites - Huntersville, NC	Peachtree Group	Credit - Hotel		0.3888	1.76	1.95			Credit / Debt	
Point at Tamaya - Jacksonville, FL	Passco Companies	Multifamily / residential	FL	0.0442	1.2838	6.42	Jacksonville		Multifamily / Residential	
CF Summerfield Multifamily DST	Cantor Fitzgerald	Multifamily		0.010857	1.038	3.5		Not disclosed in PPM	Multifamily / Residential	
Comfort Inn & Suites - Birmingham, AL	Peachtree Group	Credit - Hotel		0.3609	1.58	1.61			Credit / Debt	
Hotel Indigo - Tuscaloosa, AL	Peachtree Group	Credit - Hotel		0.2077	1.51	2.46			Credit / Debt	
Holiday Inn - Greensboro, NC	Peachtree Group	Credit - Hotel		0.2221	1.49	2.21			Credit / Debt	
CF WAG Portfolio DST	Cantor Fitzgerald	Necessity Retail		-0.050222	0.887	2.25		Not disclosed in PPM	Net Lease (NNN) Retail	
Self-Storage Portfolio I DST	Inland Private Capital	Self storage		0.1099	1.61	5.55			Self Storage	
FSC BJ Tilton NH, DST	Four Springs TEN31 Xchange	Retail		0.07737	1.6383	8.25		United States	Net Lease (NNN) Retail	
Meadows at Home Place - Prattville, AL	Passco Companies	Multifamily / residential	AL	0.0832	1.5475	6.58	Prattville		Multifamily / Residential	
Naples Multifamily DST	Inland Private Capital	Multifamily		0.2292	1.44	1.92			Multifamily / Residential	
Marisol - Viera, FL	Passco Companies	Multifamily / residential	FL	0.0935	1.7171	7.67	Viera		Multifamily / Residential	
Hampton Inn - Waldorf, MD	Peachtree Group	Credit - Hotel		0.3387	1.65	1.92			Credit / Debt	
Cranberry Retail Venture DST	Inland Private Capital	Retail		0.0587	1.58	9.88			Net Lease (NNN) Retail	
Homewood Suites - Eatontown, NJ	Peachtree Group	Credit - Hotel		0.121	1.46	3.8			Credit / Debt	
Midgard Murfreesboro Cason	Reliant	Self storage		0.514943	1.86	1.67		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Storesmart Summerville	Reliant	Self storage		-0.025888	0.89	4.25		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Best Western - Enterprise, AL	Peachtree Group	Credit - Hotel		0.3812	2.17	3.07			Credit / Debt	
Retail Shopping Centers - Indiana & Kentucky	Syndicated Equities	Retail		-0.0842	0.32	8.08		Indiana & Kentucky	Net Lease (NNN) Retail	
Fredericksburg Lansdowne, DST	ARCTRUST	Single Tenant Retail						Fredericksburg, Virginia	Net Lease (NNN) Retail	
Doubletree Suites - Rancho Cordova, CA	Peachtree Group	Credit - Hotel		0.1679	1.28	1.67			Credit / Debt	
New York Power DST	Inland Private Capital	Industrial		0.0886	1.93	10.5			Industrial	
Sorrel Phillips Creek	Bluerock	Multifamily / residential	TX	0.101398	1.38869	3.833333	Frisco		Multifamily / Residential	
Plaza Gardens	Bluerock	Multifamily / residential	KS	0.031297	1.341659	10.916667	Overland Park		Multifamily / Residential	
The Summit - Kent, WA	Passco Companies	Multifamily / residential	WA	0.054	1.4277	7.92	Kent		Multifamily / Residential	
Curio - Cincinnati, OH	Peachtree Group	Credit - Hotel		0.0978	1.14	1.43			Credit / Debt	
Avondale Station - Avondale, AZ	Peachtree Group	Credit - Other		0.1418	1.08	0.56			Credit / Debt	
Sonesta ES Suites - Birmingham, AL	Peachtree Group	Credit - Hotel		0.1675	1.2	1.19			Credit / Debt	
Murfreesboro 1031, L.L.C.	Inland Private Capital	Retail		-0.0006	0.99	17.67			Net Lease (NNN) Retail	
Comfort Suites - Columbus, GA	Peachtree Group	Credit - Hotel		0.1432	1.04	0.28			Credit / Debt	
Hampton Inn - Martinsburg, WV	Peachtree Group	Credit - Hotel		0.2609	1.08	0.31			Credit / Debt	
Sleep Inn Parking Lot- Baltimore, MD	Peachtree Group	Credit - Other		1.0251	3.61	2.55			Credit / Debt	
309 Green Street - Champaign, IL	Syndicated Equities		IL	0.1602	1.3	1.87	Champaign			
DoubleTree & Embassy Suites - Rosemont, IL	Syndicated Equities	Hotel	IL	-0.3421	0.32	1.99	Rosemont		Hotel / Hospitality	
Staybridge Suites - Cathedral City, CA	Peachtree Group	Credit - Hotel		0.8209	1.69	0.84			Credit / Debt	
Ft. Collins Multifamily Portfolio DST	Inland Private Capital	Multifamily		0.1189	1.66	5.55			Multifamily / Residential	
Wells Place Apartment Development - Chicago, IL	Syndicated Equities	Multifamily / residential	IL	0.097	1.33	3.4	Chicago		Multifamily / Residential	
CF Star Multifamily Portfolio DST	Cantor Fitzgerald	Multifamily		0.114038	1.593	5.2		Not disclosed in PPM	Multifamily / Residential	
W Pharmacy I DST	Inland Private Capital	Retail		0.0384	1.47	12.25			Net Lease (NNN) Retail	
Comfort Inn & Suites - Tacoma, WA	Peachtree Group	Credit - Hotel		0.1299	1.18	1.39			Credit / Debt	
Four Points - Huntersville, NC	Peachtree Group	Credit - Hotel		0.0742	1.2	2.7			Credit / Debt	
Marquis Portfolio (4 properties, reported on a portfolio basis)	Bluerock	Multifamily / residential		0.154035	1.423596	2.75		Not disclosed	Multifamily / Residential	
CF Rivertop Multifamily DST	Cantor Fitzgerald	Multifamily		0.129688	1.415	3.2		Not disclosed in PPM	Multifamily / Residential	
Veranda at Centerfield	Bluerock	Multifamily / residential	TX	0.246476	2.026982	4.166667	Houston		Multifamily / Residential	
Arium Metrowest	Bluerock	Multifamily / residential	FL	0.011179	1.055896	5	Orlando		Multifamily / Residential	
Holiday Inn (Note 3) - Lancaster, PA	Peachtree Group	Credit - Hotel		0.4434	1.21	0.47			Credit / Debt	
Sonesta ES Suites - Memphis, TN	Peachtree Group	Credit - Hotel		0.1767	1.37	2.09			Credit / Debt	
Alberta, Canada - BULK SALES (84 projects)	Walton Global	Undeveloped / pre-development land		0.156667	2.41	9		Canada - Alberta	Undeveloped Land	
Stonebrook	Bluerock	Multifamily / residential	TN	0.345412	3.619377	7.583333	Nashville		Multifamily / Residential	
Holiday Inn Express - Monahans, TX	Peachtree Group	Credit - Hotel							Credit / Debt	
Hampton Inn - Alexander City, AL	Peachtree Group	Credit - Hotel		0.1844	1.58	3.15			Credit / Debt	
FSC AS Jonesboro AR, DST	Four Springs TEN31 Xchange	Retail		0.06279	1.4389	6.99		United States	Net Lease (NNN) Retail	
Homewood Suites - San Antonio, TX	Peachtree Group	Credit - Hotel		0.1773	1.3	1.69			Credit / Debt	
Hilton Garden Inn - Fort Washington, PA	Peachtree Group	Credit - Hotel							Credit / Debt	
Preston View	Bluerock	Multifamily / residential	NC	0.06329	1.1635	2.583333	Morrisville		Multifamily / Residential	
Homewood Suites - Poughkeepsie, NY	Peachtree Group	Credit - Hotel		0.145	1.56	3.86			Credit / Debt	
CADE Boca Raton	Bluerock	Multifamily / residential	FL	0.077864	1.317945	4.083333	Boca Raton		Multifamily / Residential	
Net-Leased Portfolio 12	ExchangeRight	Net-leased retail & healthcare		0.108786	1.4	3.676934		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	Healthcare / Medical Office
Chateau Elite	AEI	Net-leased restaurant	IL	0.053034	1.9631	18.160164	Mundelein		Net Lease (NNN) Retail	
Home2 - Hilton Head, SC	Peachtree Group	Credit - Hotel		0.387	1.16	0.41			Credit / Debt	
Desert Parks Vista - Scottsdale, AZ	Passco Companies	Multifamily / residential	AZ	0.1082	1.911	8.42	Scottsdale		Multifamily / Residential	
Amarillo Self-Storage Portfolio DST	Inland Private Capital	Self storage		0.1867	1.59	3.16			Self Storage	
SpringHill Suites - Birmingham, AL	Peachtree Group	Hotel		-0.0056	0.97	5.39			Hotel / Hospitality	
Enclave at Rivergate - Charlotte, NC	Passco Companies	Multifamily / residential	NC	0.1235	1.6583	5.33	Charlotte		Multifamily / Residential	
Hampton - Buellton, CA	Peachtree Group	Credit - Hotel		0.0975	1.29	2.97			Credit / Debt	
Charlotte Student Housing DST	Inland Private Capital	Student housing		0.0405	1.27	6.67			Student Housing	
Meadowmont	Bluerock	Multifamily / residential	NC	0.40304	2.410638	3.5	Chapel Hill		Multifamily / Residential	
Net-Leased Portfolio 22	ExchangeRight	Net-leased retail & healthcare		0.080275	1.42	5.232033		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	Healthcare / Medical Office
KinderCare / Children's World	AEI	Net-leased early education / childcare	MA	0.059349	1.8308	13.998631	West Bridgewater		Net Lease (NNN) Retail	
TRYP - Savannah, GA	Peachtree Group	Credit - Hotel		0.1968	1.55	2.8			Credit / Debt	
Walgreens - Alexandria, MN	Syndicated Equities	Net-leased pharmacy	MN	0.0871	1.44	5.05	Alexandria		Net Lease (NNN) Retail	
Homewood Suites - Daytona, FL	Peachtree Group	Hotel		0.1546	1.81	5.24			Hotel / Hospitality	
President Hotel (C Note) - Kansas City, MO	Peachtree Group	Credit - Hotel		0.357	1.13	0.36			Credit / Debt	
Rio Bravo	AEI	Net-leased restaurant	MN	0.068054	1.6674	9.806982	St. Paul		Net Lease (NNN) Retail	
Norwalk Office Building - Norwalk, CA	Syndicated Equities	Office	CA	0.0173	1.26	15	Norwalk		Office	
SpringHill Suites - Milpitas, CA	Peachtree Group	Credit - Hotel		0.2117	1.44	2.08			Credit / Debt	
Falls at Forsyth	Bluerock	Multifamily / residential	GA	-0.036929	0.898444	2.75	Cumming		Multifamily / Residential	
Chattahoochee Ridge	Bluerock	Multifamily / residential	GA	0.382879	2.116732	2.916667	Atlanta		Multifamily / Residential	
Encore at the Park - Durham, NC	Passco Companies	Multifamily / residential	NC	0.1004	1.4689	4.67	Durham		Multifamily / Residential	
Carino's	AEI	Net-leased restaurant	TX	0.035086	1.5754	16.399726	Victoria		Net Lease (NNN) Retail	
City Lofts - Beaufort, SC	Peachtree Group	Credit - Hotel		0.2015	1.47	2.33			Credit / Debt	
Hampton Inn - Pasadena, TX	Peachtree Group	Credit - Hotel		0.6606	1.17	0.26			Credit / Debt	
The Reserve at Palmer Ranch	Bluerock	Multifamily / residential	FL	0.447465	3.461059	5.5	Sarasota		Multifamily / Residential	
San Antonio Multifamily II DST	Inland Private Capital	Multifamily		0.0284	1.13	4.58			Multifamily / Residential	
Margaritaville - South Padre, TX	Peachtree Group	Credit - Hotel		0.1948	1.56	2.87			Credit / Debt	
Home2 Suites - Charlotte, NC	Peachtree Group	Credit - Hotel		0.0892	1.31	3.48			Credit / Debt	
Student Housing Development - Carbondale, IL	Syndicated Equities	Student housing	IL	0.0995	1.13	1.31	Carbondale		Student Housing	
Champps	AEI	Net-leased restaurant	IL	0.031382	1.4772	15.206023	Schaumburg		Net Lease (NNN) Retail	
Chicagoland Multifamily DST	Inland Private Capital	Multifamily		0.0792	1.57	7.2			Multifamily / Residential	
Fairfield Inn - Orange Beach, AL	Peachtree Group	Credit - Hotel		0.0887	1.22	2.48			Credit / Debt	
Marie Callender's	AEI	Net-leased restaurant	OR	0.007463	1.0966	12.944559	Gresham		Net Lease (NNN) Retail	
Hampton Inn - Okeechobee, FL	Peachtree Group	Hotel		1.6705	2.18	0.71			Hotel / Hospitality	
Walgreens - Hickory Hills, IL	Syndicated Equities	Net-leased pharmacy	IL	0.1468	1.68	4.63	Hickory Hills		Net Lease (NNN) Retail	
Land (98 Lots) - Meadow Springs, GA	Peachtree Group	Credit - Land							Credit / Debt	
Chicagoland Street Retail DST	Inland Private Capital	Retail		0.0257	1.26	10.13			Net Lease (NNN) Retail	
Mira Vista	Bluerock	Multifamily / residential	TX	0.118639	1.207619	1.75	Austin		Multifamily / Residential	
Paul Hotel - New York, NY	Peachtree Group	Credit - Hotel		0.1749	1.41	2.34			Credit / Debt	
Denim	Bluerock	Multifamily / residential	AZ	0.689958	3.242365	3.25	Scottsdale		Multifamily / Residential	
Estates at Perimeter	Bluerock	Multifamily / residential	GA	0.059689	1.248705	4.166667	Augusta		Multifamily / Residential	
Storesmart Warner Robins Two	Reliant	Self storage		0.228281	1.97	4.25		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Cottages at Myrtle Beach	Bluerock	Multifamily / residential	SC	0.145123	1.568398	3.916667	Myrtle Beach		Multifamily / Residential	
Courtyard (Note 1) - Niagara, NY	Peachtree Group	Credit - Hotel		0.1889	1.12	0.64			Credit / Debt	
Reynoldsburg 1031, L.L.C.	Inland Private Capital	Retail		0.0346	1.56	16.17			Net Lease (NNN) Retail	
Passco Palm Desert, LLC - Palm Desert, California	Passco Companies	Undeveloped / pre-development land		-0.165837	0	6.03		Palm Desert, California	Undeveloped Land	
Pearland Multifamily DST	Inland Private Capital	Multifamily		0.0559	1.27	4.83			Multifamily / Residential	
Hunter’s Pointe	Bluerock	Multifamily / residential	FL	0.109091	1.2	1.833333	Pensacola		Multifamily / Residential	
Springhill Suites - Montgomery, AL	Peachtree Group	Credit - Hotel		0.179	1.85	4.75			Credit / Debt	
Briad Working Capital Loan	Peachtree Group	Credit - Hotel		0.1509	1.19	1.26			Credit / Debt	
The Brodie	Bluerock	Multifamily / residential	TX	0.412879	3.408459	5.833333	Austin		Multifamily / Residential	
Scarborough Medical DST	Inland Private Capital	Medical Office		0.1179	2.12	9.5			Healthcare / Medical Office	
Holiday Inn Express - Opelika, AL	Peachtree Group	Credit - Hotel		0.1618	1.31	1.92			Credit / Debt	
Fairfield Inn & Suites by Marriott - Omaha, NE	Peachtree Group	Credit - Hotel		-0.0306	0.92	2.61			Credit / Debt	
Storesmart Loganville	Reliant	Self storage		0.027113	1.07	2.58		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Hotel on Philips (Note 2) - Sioux Falls, SD	Peachtree Group	Credit - Hotel		0.0905	1.23	2.54			Credit / Debt	
1501 Jackson - Omaha, NE	Syndicated Equities		NE	-0.082	0.28	8.78	Omaha			
Midgard Chisholm Rd	Reliant	Self storage		0.36765	3.91	7.92		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Springhouse	Bluerock	Multifamily / residential	VA	0.210522	2.403483	6.666667	Newport News		Multifamily / Residential	
Louisville Multifamily DST	Inland Private Capital	Multifamily		0.0828	1.41	4.95			Multifamily / Residential	
Element - Palmdale, CA	Peachtree Group	Credit - Hotel		0.1492	1.6	4.02			Credit / Debt	
Passco Companies Income Fund II, LLC	Passco Companies	Debt / notes program							Credit / Debt	
Wyndham Garden - Dania Beach, FL	Peachtree Group	Credit - Hotel		0.2527	1.33	1.31			Credit / Debt	
Denver Multifamily Portfolio DST	Inland Private Capital	Multifamily		0.0866	1.31	3.58			Multifamily / Residential	
Gulfshore Apartment Homes	Bluerock	Multifamily / residential	FL	0.024298	1.164011	6.75	Naples		Multifamily / Residential	
Luxe - Scottsdale, AZ	Passco Companies	Multifamily / residential	AZ	0.0772	1.3088	4	Scottsdale		Multifamily / Residential	
Alberta, Canada - VTB SALES (vendor take-back)	Walton Global	Undeveloped / pre-development land		0.02427	1.54	22.25		Canada - Alberta	Undeveloped Land	
Silver City - Las Vegas, NV	Passco Companies	Retail	NV	0.1049	2.5735	15	Las Vegas		Net Lease (NNN) Retail	
Note 16	Bluerock	Multifamily / residential	TN	0.614085	1.767606	1.25	Nashville		Multifamily / Residential	
Hotel Indigo - Chattanooga, TN	Peachtree Group	Credit - Hotel		0.1089	1.24	2.2			Credit / Debt	
Speedway Villas - Myrtle Beach, SC	Peachtree Group	Credit - Other		0.1434	1.15	1.05			Credit / Debt	
Chace Lake Villas	Bluerock	Multifamily / residential	AL	0.072103	1.396566	5.5	Birmingham		Multifamily / Residential	
Net-Leased Portfolio 10	ExchangeRight	Net-leased retail		0.081136	1.58	7.148528		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	
Aloft - Miami, FL	Peachtree Group	Credit - Hotel		0.0342	1.1	2.92			Credit / Debt	
Comfort Inn - McHenry, MD	Peachtree Group	Credit - Hotel		0.0562	1.33	5.87			Credit / Debt	
DoubleTree - Youngstown, OH	Peachtree Group	Credit - Hotel							Credit / Debt	
Net-Leased Portfolio 18	ExchangeRight	Net-leased retail & healthcare		0.09774	1.46	4.706366		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	Healthcare / Medical Office
Orlando Student Housing DST	Inland Private Capital	Student housing		0.1049	1.28	2.67			Student Housing	
Midgard Newberry	Reliant	Self storage		1.002327	4.68	3.67		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Chicagoland Grocery Venture II DST	Inland Private Capital	Retail		0.2209	1.57	2.58			Net Lease (NNN) Retail	
Best Western Plus (Note B) - Cascade Locks, OR	Peachtree Group	Credit - Hotel		0.3232	1.1	0.31			Credit / Debt	
Net-Leased Portfolio 4	ExchangeRight	Net-leased retail		0.098464	1.74	7.5154		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	
Sonesta Simply Suites - Knoxville, TN	Peachtree Group	Credit - Hotel		0.1709	1.27	1.58			Credit / Debt	
Bi-Coastal Home Improvement DST	Inland Private Capital	Retail		0.0823	1.48	5.83			Net Lease (NNN) Retail	
Motif	Bluerock	Multifamily / residential	FL	0.107107	1.678347	6.333333	Fort Lauderdale		Multifamily / Residential	
Rio 21 and Texan 28 - University of Texas	Syndicated Equities	Student housing		-0.0099	0.92	8.12		University of Texas	Student Housing	
Midgard Athens	Reliant	Self storage		0.349963	3.77	7.92		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Hilton Garden Inn - Omaha, NE	Peachtree Group	Credit - Hotel		0.1778	1.22	1.24			Credit / Debt	
BJS Syracuse 1031, L.L.C.	Inland Private Capital	Retail		0.0596	1.86	14.42			Net Lease (NNN) Retail	
Dallas Multifamily DST	Inland Private Capital	Multifamily		0.0358	1.17	4.75			Multifamily / Residential	
Social Security Administration - Indianapolis, IN	Syndicated Equities	Government / GSA-leased	IN	0.0195	1.25	12.82	Indianapolis		Government / GSA-Leased	
Home2 Suites - Salisbury, NC	Peachtree Group	Credit - Hotel		0.0774	1.15	1.94			Credit / Debt	
Cambria Suites - Bloomington, MN	Peachtree Group	Credit - Hotel		0.058	1.01	0.17			Credit / Debt	
Walgreens - Amarillo, TX	Syndicated Equities	Net-leased pharmacy	TX	0.0808	1.79	9.77	Amarillo		Net Lease (NNN) Retail	
Candlewood Suites - Indianapolis, IN	Peachtree Group	Credit - Hotel		0.2044	2.01	4.94			Credit / Debt	
The Preserve at Henderson Beach	Bluerock	Multifamily / residential	FL	0.577941	4.804779	6.583333	Destin		Multifamily / Residential	
Staybridge Suites - Baltimore, MD (Exit Fee Loan)	Peachtree Group	Credit - Hotel		0.1131	1.1	0.88			Credit / Debt	
Margaritaville - South Padre, TX	Peachtree Group	Credit - Hotel		0.1948	1.56	2.87			Credit / Debt	
Home2 Suites - Barstow, CA	Peachtree Group	Credit - Hotel		0.1601	1.43	2.69			Credit / Debt	
New York Grocery DST	Inland Private Capital	Retail		-0.0627	0.76	3.83			Net Lease (NNN) Retail	
CVS	Passco Companies	Retail		0.0513	1.4915	9.58			Net Lease (NNN) Retail	
AT&T Office Building - Pewaukee, WI (LOAN DEFAULT - excluded from IPC disposition table)	Inland Private Capital	Office							Office	
Inland Honey Creek, L.L.C.	Inland Private Capital	Retail		-0.0382	0.52	12.55			Net Lease (NNN) Retail	
Holiday Inn Express - Rapid City, SD	Peachtree Group	Credit - Hotel		0.4701	1.13	0.28			Credit / Debt	
Wingate (B Note) - Lancaster, PA	Peachtree Group	Credit - Hotel		0.8712	1.26	0.3			Credit / Debt	
Hampton Inn & Suites - Seal Beach, CA	Peachtree Group	Credit - Hotel		0.2066	1.4	1.94			Credit / Debt	
TownePlace Suites - Lone Tree, CO	Peachtree Group	Credit - Hotel		0.0793	1.69	8.71			Credit / Debt	
Inland Chicago Grace L.L.C.	Inland Private Capital	Office		0.0381	1.41	10.75			Office	
Grand Dominion	Bluerock	Multifamily / residential	TX	0.077853	1.382779	4.916667	San Antonio		Multifamily / Residential	
Sonesta ES Suites - Montgomery, AL	Peachtree Group	Credit - Hotel		0.1847	1.45	2.44			Credit / Debt	
Novel Perimeter	Bluerock	Multifamily / residential	GA	0.099924	1.399695	4	Atlanta		Multifamily / Residential	
Tallahassee West Tennessee, DST	ARCTRUST	Supermarket						Tallahassee, Florida	Net Lease (NNN) Retail	
Carino's	AEI	Net-leased restaurant	TX	0.021593	1.331	15.329227	Pharr		Net Lease (NNN) Retail	
Fairfield Inn & Suites - Channelview, TX	Peachtree Group	Credit - Hotel		0.1325	1.16	1.21			Credit / Debt	
Whetstone Apartments	Bluerock	Multifamily / residential	NC	0.133769	1.624256	4.666667	Durham		Multifamily / Residential	
Staybridge Suites - Cathedral City, CA	Peachtree Group	Credit - Hotel		0.8209	1.69	0.84			Credit / Debt	
Mesa Ridge	Bluerock	Multifamily / residential	TX	0.094391	1.534884	5.666667	San Antonio		Multifamily / Residential	
The DeSota	Bluerock	Multifamily / residential	FL	0.06639	1.260027	3.916667	Sarasota		Multifamily / Residential	
Bellis Fair - Bellingham, WA	Peachtree Group	Credit - Retail		0.1068	1.19	1.78			Credit / Debt	
Element - Miami, FL	Peachtree Group	Hotel		0.0325	1.14	4.3			Hotel / Hospitality	
Hampton Inn & Suites - Montgomery, AL	Peachtree Group	Credit - Hotel		0.1651	1.4	2.42			Credit / Debt	
National Archives & Records - Riverside, CA	Syndicated Equities	Government / GSA-leased	CA	0.0406	1.41	10.1	Riverside		Government / GSA-Leased	
FSC Industrial 8, DST	Four Springs TEN31 Xchange	Industrial		-0.007952	0.9604	4.98		United States	Industrial	
Citrus Tower	Bluerock	Multifamily / residential	FL	0.488118	3.481266	5.083333	Clermont		Multifamily / Residential	
