Investment Name	Sponsor	Property Type	Location	Average Annual Return	Equity Multiple	Holding Period	City	Location Note	Asset Class	Asset Class 2
Stonegate - Birmingham, AL	Passco Companies	Multifamily / residential	AL	0.0644	1.3864	6	Birmingham		Multifamily / Residential	
Cambria - Austin, TX	Peachtree Group	Credit - Hotel		0.2589	1.73	2.82			Credit / Debt	
Hilton Garden Inn - Jackson, TN	Peachtree Group	Hotel		0.3492	3.83	8.1			Hotel / Hospitality	
NREA Estates DST	NexPoint	Multifamily		0.266667	2	3.75		United States	Multifamily / Residential	
Home2 Suites - Durham, NC	Peachtree Group	Credit - Hotel		0.1691	1.63	3.73			Credit / Debt	
Hampton Inn - Starkville, MS	Peachtree Group	Hotel		0.1407	3.04	14.5			Hotel / Hospitality	
Yuma Palms 1031, L.L.C.	Inland Private Capital	Retail		-0.0255	0.56	17.25			Net Lease (NNN) Retail	
Asheville - Asheville, NC	Passco Companies	Multifamily / residential	NC	0.1124	1.6654	5.92	Asheville		Multifamily / Residential	
Storesmart Fayetteville GA	Reliant	Self storage		0.233235	2.03	4.42		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Comfort Inn - Lumberton, NC	Peachtree Group	Credit - Hotel							Credit / Debt	
Gingham's	AEI	Net-leased restaurant	MO	0.054536	2.2699	23.285421	St. Charles		Net Lease (NNN) Retail	
Pine Lakes Preserve	Bluerock	Multifamily / residential	FL	0.538167	4.139307	5.833333	Port St. Lucie		Multifamily / Residential	
CoHo House	Bluerock	Multifamily / residential	GA	0.076352	1.26087	3.416667	Atlanta		Multifamily / Residential	
Holiday Inn (B Note) - Omaha, NE	Peachtree Group	Credit - Hotel		0.2453	1.09	0.37			Credit / Debt	
Arium Glenridge	Bluerock	Multifamily / residential	GA	0.282259	2.693554	6	Atlanta		Multifamily / Residential	
My Place Hotel - Fargo, ND	Peachtree Group	Credit - Hotel		0.4783	1.11	0.23			Credit / Debt	
840 1st Street - Washington, DC	Syndicated Equities		DC	0.2636	1.41	1.56	Washington			
