Record ID	Property Type	Investment Name	Sponsor
recTvpZmBHwjBYdXF	Credit - Hotel	Holiday Inn Express - Auburn, AL	Peachtree Group
recU12T1t2eLc8Vau	Retail	Courtland Center - Burton, MI	Syndicated Equities
recU6es4QC88MPiNC	Credit - Mixed Use	CNL - 1st DOT (Participation) - Los Angeles, CA	Peachtree Group
recU8hGinT3wlEFiu	Credit - Hotel	Hampton Inn - Panama City Beach, FL	Peachtree Group
recUCCVWc8UMMwknW	Credit - Hotel	Best Western - Macomb, IL	Peachtree Group
recUHoaF3Z81shPiL	Credit - Hotel	Fairfield Inn & Suites (Note A) - Fort Morgan, CO	Peachtree Group
recUT6oUKOCTc5eVs	Net-leased retail	Cash America	AEI
recUdfNfbn3bFlcfc	Hotel	Courtyard - Columbia, SC	Peachtree Group
recUm9aQ5t1XBHdRe	Multifamily / residential	Sonoma Pointe	Bluerock
recUoJ4TLLgGzpSnN	Multifamily	Colorado Multifamily Portfolio DST	Inland Private Capital
recUp9dHKUPjgz2eD	Multifamily / residential	Encore Chandler	Bluerock
recUqFVUAUhhGyC6E	Multifamily / residential	Longitude 82 - Sarasota, FL	Passco Companies
recUqiXJ2Uh7yS3AI	Retail	Hanford Mall - Hanford, CA	Passco Companies
recUzKDXpuDRFdXId	Debt / notes program	Series 2005-A 8% Participating Debentures	Passco Companies
recV5NYhNGOyJWz1v	Credit - Hotel	TownePlace Suites - Florence, SC	Peachtree Group
recVEpFopZHtxuW0S	Parking	Public Square Garage - Nashville, TN	Syndicated Equities
recVNtFTbM45UER1I	Credit - Hotel	Holiday Inn Express - Albany, NY	Peachtree Group
recVSRVJkcaLm59ot	Credit - Hotel	Courtyard - Cincinnati, OH	Peachtree Group
recVWDRwIFGnXHvbD	Hotel	Homewood Suites - Destin, FL	Peachtree Group
recVZT7YXIOLXHFiE	Multifamily	Multifamily 4 - North Austin Apartment Portfolio	ExchangeRight
recVZTBmZK2LtPX48	Credit - Hotel	Fairfield Inn & Suites / Four Points - Amarillo, TX	Peachtree Group
recVZsPkGnzjT410p	Net-leased restaurant	Chi-Chi's	AEI
